,text,concept
139,Wanted: Volunteers to catch COVID-19 in the name of science  https://t.co/VllRxhPuGK  https://t.co/6MNFGkxudl,"['wanted', 'volunteer', 'catch', 'covid', 'science']"
140,"When asked about holding rates today  ""Decision consistent with deliberate approach, Omicron also weighing on economy""","['holding', 'rate', 'decision', 'consistent', 'liberate', 'approach', 'omicron', 'economy', 'about', 'today', 'libePOS']"
141,"- There is some uncertainty about how quickly inflation will fall  - Some data suggests that supply disruptions have peaked, but the spread of Omicron is a new wildcard that might further disrupt supply $CAD","['uncertainty', 'quickly', 'inflation', 'fall', 'suggest', 'supply', 'disruptions', 'spread', 'omicron', 'new', 'disrupt', 'cad', 'there', 'data', 'further']"
142,Two-thirds of Omicron cases in England reinfections: Study  https://t.co/mQNtgm7U5Y  https://t.co/qS2Hz0HBWv,"['omicron', 'reinfection', 'study', 'SADNESS', 'england']"
143,Wanted: Volunteers to catch COVID in the name of science  https://t.co/pmuCwYNuZm  https://t.co/rvJu8EEZkI,"['wanted', 'volunteer', 'catch', 'covid', 'science']"
144,Premier League says minimum four COVID-19 cases needed for fixture postponement  https://t.co/zLhvj1eirT  https://t.co/M6HhI7tLbe,"['premier', 'league', 'minimum', 'covid', 'needed', 'fixture', 'postponement', 'says', 'case']"
145,🚨 BREAKING --:gt: More that 10 billion Covid vaccine jabs have now been given (but there's a ton of inequality globally in who's got them)  https://t.co/y4DdLj7RLr,"['covid', 'vaccine', 'ton', 'inequality', 'there', 'bill']"
146,"4,832 new Covid-19 cases reported in Singapore  https://t.co/0xxa8SIch7  https://t.co/MG5k7bCJnr","['new', 'covid', 'report', 'case']"
147,"4,832 new COVID-19 cases reported in Singapore  https://t.co/25Cp63WbZj  https://t.co/tn94O5Am0x","['new', 'covid', 'report', 'case']"
148,"4,832 new Covid-19 cases in S'pore on Jan. 26, 2,996 low-risk cases detected via ART  https://t.co/ZQNApowLmF  https://t.co/N3GXMx3wCp","['new', 'covid', 'pore', 'risk', 'detect', 'art', 'case']"
149,"580 people in S'pore in hospital with Covid-19: 44 need oxygen support, 11 in ICU  https://t.co/zLGzZFH3aq","['pore', 'hospital', 'covid', 'oxygen', 'support', 'need']"
150,Beijing's local Covid-19 cases rise before Olympics: more areas find Omicron  https://t.co/Y4iOq7kyPQ  https://t.co/J6jffRThc1,"['covid', 'rise', 'olympic', 'omicron', 'case', 'before', 'local', 'find']"
151,"South Korea's daily new Covid count exceeds 13,000 for first time  https://t.co/zasgRVhEY4  https://t.co/H7It5Zv4gx","['korey', 'new', 'covid', 'count', 'time', 'first', 'south']"
152,German Covid-19 cases hit record as parliament debates vaccine mandate  https://t.co/DuFr9qsRPs  https://t.co/lb2LemzcKk,"['covid', 'hit', 'record', 'vaccine', 'mandy', 'bates', 'german', 'case']"
153,Clearbridge Health's Covid-19 ART test receives approval by Philippines  https://t.co/01eGYmJbDW,"['health', 'covid', 'art', 'test', 'receives', 'approval', 'clearbridge']"
154,"Two-thirds of people who catch Omicron have already had COVID, UK study finds  https://t.co/lMTV6V56fV","['catch', 'omicron', 'covid', 'study', 'already']"
155,Cross-country skiing-Chaos in Norway team as Weng tests positive for COVID  https://t.co/yMI8Y2X7RM  https://t.co/KUnkyx4cBz,"['try', 'chaos', 'testy', 'positive', 'covid', 'cross', 'skiing', 'weng']"
156,"Apple poised for strong earnings despite supply constraints, Omicron  https://t.co/H6r5yMilp6  https://t.co/D7vLyklCpa","['poise', 'strong', 'earnings', 'supply', 'constraint', 'omicron', 'apple', 'despite']"
157,Government to re-evaluate spending as Singapore adapts to living with Covid-19  https://t.co/uzMx8BAAbD,"['govern', 'evaluate', 'adapt', 'covid', 'singapore']"
158,"Construction demand for 2022 to return to near pre-Covid-19 levels, sector outlook still vulnerable with Omicron threat  https://t.co/5zHPDXgKg6","['construction', 'demand', 'turne', 'covid', 'sector', 'outlook', 'vulnerable', 'omicron', 'threat', 'near', 'still']"
159,US veterinarians find dogs and cats can get COVID  https://t.co/ILuy6FL777,"['cat', 'covid']"
160,".@IMFNews cuts China’s growth forecast from 5.6 to 4.8%: APAC Director Changyong Rhee assesses impacts of Omicron’s consumption slowdown, property stress and fiscal tightening   https://t.co/05NLxX893z","['growth forecast', 'apac', 'direct', 'assess', 'impact', 'omicron', 'consumption', 'slowdown', 'property', 'stress', 'fiscal', 'tighten', 'china', 'rhea']"
161,China shrugs off IMF warnings on zero-tolerance COVID approach  https://t.co/MjX3ViRSPQ,"['shrug', 'warning', 'tolerance', 'covid', 'approach', 'china']"
162,China shrugs off IMF warnings on zero-tolerance COVID-19 approach  https://t.co/L03rZrjTA6  https://t.co/E5QjxHJTtL,"['shrug', 'warning', 'tolerance', 'covid', 'approach', 'china']"
163,German COVID-19 cases hit record as parliament debates vaccine mandate  https://t.co/bwOIEaZz2a  https://t.co/A9Hnuhxrfn,"['covid', 'hit', 'record', 'vaccine', 'mandy', 'bates', 'german', 'case']"
164,"Hong Kong may maintain Covid isolation until 2024, risking exodus to Singapore or Seoul  https://t.co/tautMjC8TL  https://t.co/IQWA1WX4sl","['hong', 'maintain', 'covid', 'isolation', 'tile']"
165,"2️⃣ :SocialMedia users continue to grow faster than they did prior to the outbreak of the COVID-19 pandemic, with @kepios analysis putting annual user growth at more than 10%.  https://t.co/qJI59IV6JL","['grow faster', 'continue', 'pry', 'outbreak', 'covid', 'pandemic', 'analysis', 'growth', 'user', 'kepios']"
166,"Elton John has COVID, postpones US tour dates  https://t.co/Qacl32pLIj  https://t.co/5nh9FFSRQU","['covid', 'postpone', 'john']"
167,"Despite COVID, some coffee chains in Southeast Asia are growing due to delivery demand and digital-based operations. Coffee producing counties like Vietnam and Indonesia are consuming more of the local beans.    https://t.co/uey66pMAK0","['covid', 'coffee', 'chain', 'asia', 'growing', 'delivery', 'demand', 'digital', 'operations', 'southeast', 'despite', 'based']"
168,Teachers cheer up student recovering from Covid-19 with heartwarming messages and meals  https://t.co/MRzBoYqZ2G  https://t.co/L7EQruraNz,"['teach', 'cheer', 'student', 'covid', 'heartwarming', 'mealy']"
169,"Cannabis compound CBD stops coronavirus in test tube, but can it treat Covid-19?  https://t.co/lFKPEtQ1iB  https://t.co/shCl13FMc6","['cannabis', 'compound', 'stop', 'coronavirus', 'test', 'treat', 'covid']"
170,Beijing city's COVID-19 infections rise ahead of Winter Olympics  https://t.co/AaTBFPAVUP  https://t.co/MdjDtB0CUm,"['covid', 'infection', 'rise', 'olympic', 'winter', 'city']"
171,"How should Singapore stay relevant :amp: competitive in a post-COVID world? Minister Ong shared his thoughts in a keynote speech on Cities, Countries and Resilience at the Singapore Perspectives 2022 forum organised by @IPS_sg   https://t.co/nXE0WJ29Gm","['stay', 'relevant', 'competitive', 'covid', 'keynote', 'speech', 'resilience', 'perspective', 'forum', 'organise', 'singapore']"
172,"Hong Kong may maintain COVID-19 isolation until 2024, risking exodus: Euro chamber  https://t.co/4vbpldWEKb  https://t.co/uy1XnT9EYl","['hong', 'maintain', 'covid', 'isolation', 'tile', 'euro', 'chamber', 'SADNESS']"
173,"South Korea's daily new Covid count exceeds 13,000 for first time  https://t.co/XZATqHaOx5  https://t.co/NqUPuLV1rG","['korey', 'new', 'covid', 'count', 'time', 'first', 'south']"
174,"yeah, omicron can spread especially if there are unboosted folks, but even two shots means you are unlikely to get very sick, or sick at all  https://t.co/MgvxYjnEA9","['yeah', 'omicron', 'spread', 'boost', 'folky', 'sick', 'there']"
175,What COVID’s done - :Bintan Ferry terminal  https://t.co/Z4MlL3x3gv,"['ferry terminal', 'covid', 'bintan', 'what']"
176,Pfizer and BioNTech launch trial of Omicron-targeted Covid-19 vaccine  https://t.co/FjAh0SFScC  https://t.co/oNzMk8yz8n,"['trial', 'omicron', 'covid', 'vaccine', 'launch', 'targeted']"
177,Winter Olympics 2022: China eases Covid testing rules amid rise in cases  https://t.co/epfHXOAGSO,"['olympic', 'ease', 'covid', 'testing', 'amid', 'rise', 'winter', 'china', 'rules']"
178,Pfizer and BioNTech launch trial of Omicron-targeted Covid vaccine  https://t.co/3XVbuPpdGA  https://t.co/GkheQilJ8H,"['trial', 'omicron', 'covid', 'vaccine', 'launch', 'targeted']"
179,Condominium management teams urged to implement COVID-19 measures ahead of Chinese New Year  https://t.co/mcm7ENzWy6  https://t.co/XKrcOh7FO0,"['management', 'urge', 'implement', 'covid', 'measure', 'new', 'condominium', 'china', 'team']"
180,"@gadyepstein indeed, who among us but him can say whether it's true that vaccines have safely inoculated millions and reduced the danger from covid","['say', 'vaccine', 'safely', 'danger', 'covid', 'whether']"
181,"South Korea's daily new COVID-19 case count exceeds 13,000 for first time  https://t.co/L2pwZQzRXO  https://t.co/NqhUKk67hT","['korey', 'new', 'covid', 'count', 'time', 'case', 'first', 'south']"
182,"At up to US$8,000 a week, America's travel nurses keep Covid-slammed hospitals afloat  https://t.co/gvm3PIEbGI  https://t.co/SVicJzoVf0","['travel', 'covid', 'afloat', 'america', 'keep', 'hospitals']"
183,"Elton John contracts COVID-19, postpones two concert dates in Texas  https://t.co/FtdGnpqyLK  https://t.co/7f9wwBFqsm","['covid', 'postpone', 'contracts']"
184,English COVID study finds record prevalence in January  https://t.co/FMuGCclER7  https://t.co/syAXNSstR5,"['covid', 'study', 'record', 'prevalence', 'finds', 'english']"
185,“a zero-Covid policy means the Chinese will always be chasing an ever moving target.”  https://t.co/TK0X4FnMgS,"['covid', 'policy', 'moving', 'target', '\\xe2\\x80\\x9ca', 'ever']"
186,US prepares to allow diplomats to leave China over strict COVID-19 rules  https://t.co/B5N8jGVjKT  https://t.co/D1bs7TTvMk,"['prepare', 'strict', 'covid', 'china']"
187,"COVID-19 is less severe with Omicron than Delta, US study suggests  https://t.co/3rl8huzPlP  https://t.co/DWfYOureyh","['covid', 'severe', 'omicron', 'study', 'suggest', 'delta']"
188,Commentary: Elections in Johor - why call for them now amid Omicron wave?  https://t.co/aQsrfmRKlW  https://t.co/plNV3cVT3v,"['call', 'amid', 'omicron', 'nowa']"
189,Commentary: An Omicron spike in Singapore will be fast and furious  https://t.co/ANebneuUE0  https://t.co/mgWh3xhz5i,"['omicron', 'spike', 'fast', 'fury', 'singapore']"
190,"COVID: Cases of Omicron BA.2 sub-variant ‘increasing in many countries,’ warns WHO  https://t.co/dlgregR5Gh","['covid', 'omicron', 'sub', 'variant', 'warns', 'tries']"
191,England's Marler tests positive for COVID-19  https://t.co/TC6kh5Uk87  https://t.co/bnmHq8FUJZ,"['testy', 'positive', 'covid', 'marl']"
192,COVID: Pfizer-BioNTech begin Omicron vaccine trial  https://t.co/PsbRu03gyN,"['covid', 'beg', 'omicron', 'vaccine', 'trial', 'biontech']"
193,"IMF cuts growth forecasts for US, China and the world as Omicron spreads  https://t.co/XrpgyPjfrF  https://t.co/WSEQsRtLAG","['growth forecast', 'omicron', 'spreads', 'world']"
194,"Omicron survives longer on plastic, skin than prior COVID variants  https://t.co/0cHoe9dKph","['omicron', 'survive', 'longer', 'plastic', 'pry', 'covid', 'variant', 'than']"
195,509 Covid-19 patients in hospital: 35 need oxygen support and 10 in ICU  https://t.co/78fz0YoLif,"['covid', 'hospital', 'oxygen', 'support', 'need']"
196,"5,996 new Covid-19 cases in S'pore on Jan. 25, 3,934 low-risk cases detected via ART  https://t.co/3FBLFP36cP  https://t.co/bB0sXO6edR","['new', 'covid', 'pore', 'risk', 'detect', 'art', 'case']"
197,"5,996 new Covid-19 cases, 2 deaths reported in Singapore  https://t.co/xemWJIThE1  https://t.co/38yDJFWXWK","['new', 'covid', 'death', 'report', 'case']"
198,"5,996 new COVID-19 cases, 2 deaths reported in Singapore  https://t.co/JLLGUXkswO  https://t.co/nKe6Y5FJZq","['new', 'covid', 'death', 'report', 'case']"
199,COVID tests to end for arrivals into UK: govt  https://t.co/m9SwOWOXtY,"['covid', 'testy', 'end', 'arrival']"
