,text,concept
33,"Denmark to lift all domestic Covid-19 restrictions on Feb. 1, including mandatory mask-wearing  https://t.co/kuRZHLOrOl  https://t.co/H6jbXCiAWe","['lift', 'domestic', 'covid', 'restrictions', 'mandatory', 'mask', 'including']"
34,"BREAKING: Singapore has 198 BA.2 Omicron cases, MOH studying subvariant's data  https://t.co/nDZV7O2hMU",['omicron']
35,"DBS to buy Citi's Taiwan consumer banking business with S$956m premium, high employment but lower salaries for degree holders in Covid-19 years: MOM  https://t.co/bIcHoxUSXq","['buy', 'consumer', 'premium', 'employment', 'lower', 'salary', 'degree', 'covid', 'taiwan']"
36,"VTL quota depends on COVID-19 situation in both countries, says Singapore High Commissioner to Malaysia  https://t.co/m8E907xDca  https://t.co/gx4U7KiSwZ","['depends on', 'quota', 'covid', 'situate', 'high', 'singapore']"
37,'Whack-a-mole': Experts call Hong Kong's zero-Covid policy unsustainable  https://t.co/v4J7Y9m1v7  https://t.co/7my3RGX3pN,"['whack', 'mole', 'call', 'hong', 'covid', 'policy', 'unsustainable', 'kong', 'experts']"
38,"More than 175,000 children aged between five and 11 have got at least one Covid-19 vaccine dose  https://t.co/0FTFi2UDc0","['covid', 'vaccine', 'dose']"
39,South Korea plans to add small hospitals as COVID-19 cases surge  https://t.co/U9mLaLvnE7  https://t.co/cf5M0VbnKD,"['korey', 'plans', 'add', 'small', 'covid', 'surge', 'south', 'hospitals', 'case']"
40,"Delhi lifts weekend curfew, reopens restaurants as India COVID-19 cases drop  https://t.co/iveITEJu9T  https://t.co/7gy4ejIZ9Q","['lift', 'weekend', 'reopen', 'covid', 'drop', 'restaurant']"
41,"Covid-19 rules breach: 56 businesses, 360 people caught: authorities taking extra precautions at Chinatown  https://t.co/9i3FbgkpeF  https://t.co/30VChgryyz","['covid', 'breach', 'businesse', 'caught', 'authority', 'extra', 'precaution', 'taking', 'rules', 'people']"
42,Women's World Cup schedule intact despite Omicron threat in NZ  https://t.co/TSaTMIGR9r  https://t.co/JcXZcy89Xj,"['intact', 'omicron', 'threat', 'schedule', 'despite']"
43,More enforcement during Chinese New Year period amid surge in Omicron cases: MSE  https://t.co/FcD7xjemWD  https://t.co/3bvfG0EdmF,"['enforcement', 'new', 'amid', 'surge', 'omicron', 'more', 'china', 'period']"
44,Not easy being green: China's COVID-19 'health codes' define pandemic life  https://t.co/J7yvm4ff7P  https://t.co/9Ink5Xli66,"['easy', 'green', 'covid', 'health', 'code', 'defy', 'pandemic', 'china']"
45,Sweden decides against recommending Covid vaccines for kids aged 5-12  https://t.co/FFkG6Yrw4y  https://t.co/yJ6VLJ5dkg,"['decide', 'against', 'covid', 'vaccine', 'kid']"
46,"Labour market continues recovery in Q4, as non-resident employment rises for first time since Covid-19 struck  https://t.co/VICA8u54hJ  https://t.co/TySYXsz4np","['continue', 'recovery', 'resident', 'employment', 'rises', 'time', 'covid', 'struck', 'market', 'first', 'since']"
47,China quietly locks down area near Beijing after COVID-19 cases  https://t.co/qiFcsvDhnZ  https://t.co/irSIKokGNi,"['quietly', 'locks', 'covid', 'china', 'after']"
48,Labour market continues to recover in Q4 as non-resident employment rises for first time since Covid-19 struck  https://t.co/CJugWPQTJd  https://t.co/QKzLRtLUWi,"['continue', 'recover', 'resident', 'employment', 'rises', 'time', 'covid', 'struck', 'market', 'first', 'since']"
49,High employment but lower salaries for degree holders in Covid-19 years: MOM  https://t.co/7b7WnCgDOA  https://t.co/dEWgRSZ8zZ,"['employment', 'lower', 'salary', 'degree', 'covid']"
50,'Whack-a-mole': Experts call Hong Kong's zero-COVID policy unsustainable  https://t.co/A3noKPeZxS  https://t.co/t31a2soul8,"['whack', 'mole', 'call', 'hong', 'covid', 'policy', 'unsustainable', 'kong', 'experts']"
51,"Thailand Q4 GDP to contract 0.8%, Covid-19 remains key threat: UOB  https://t.co/46X4tA9VYf","['contract', 'covid', 'remain', 'key', 'threat']"
52,"@sharanvkaur A friend tried to report Covid misinformation to POFMA Office to see what would happen, they told him to write to MOH. But writing to MOH no sound for months, meanwhile the misinfo just flying all over Telegram","['friend', 'report', 'covid', 'misinformation', 'see', 'hap', 'tolde', 'write', 'info', 'flying', 'telegram', 'sharanvkaur', 'what', 'meanwhile']"
53,"@JoaChenRen The issue here for Substack is that they are providing space for harmful views — eg. lies about vaccines and Covid that can cause real harm — to spread, and also for peddlers of misinformation (and themselves) to make money doing it...","['space', 'harmful', 'view', 'vaccine', 'covid', 'cause', 'real', 'harm', 'spread', 'misinformation', 'make', 'money', 'providing', 'about']"
54,S'pore total employment up in Q4 2021 despite Omicron: non-resident employment recovers  https://t.co/tSvpSJSNCv,"['pore', 'tota', 'employment', 'omicron', 'resident', 'recovery', 'despite']"
55,[READ] Leading APEC in 2022 towards a Sustainable Post COVID-19 Recovery  https://t.co/aPyydojGY9 via @BangkokPostNews  :APEC2022 @APEC2022TH,"['leading', 'sustainable', 'covid', 'recovery', 'read', 'towards']"
56,'Cure cannot be worse than disease': Why Singapore changed its Covid-recovery plan  https://t.co/9ENpcCGaQk  https://t.co/rH091AcqVZ,"['cure', 'worse', 'disease', 'covid', 'recovery', 'plan']"
57,"Graham Linehan is actively and regularly attacking trans people and their existence, and others are making money off spreading Covid misinformation (see:  https://t.co/UoBNwcrPSG)","['graham', 'regularly', 'attacking', 'existence', 'money', 'covid', 'misinformation', 'see', 'making', 'spreading']"
58,"S’porean Woman :amp: Son Caught Covid-19 In Korea, Had To Stay On For 18 Extra Days — And It Cost Them An Extra $7,000 In Bills :amp: Expenses  https://t.co/pWMaZibGC4  https://t.co/HiPXOv7QMY","['caught', 'covid', 'korey', 'stay', 'extra', 'cost', 'expense']"
59,Back to reality at last? Covid rules are being dropped in Europe despite high omicron spread @HollyEllyatt   https://t.co/5qwiDgZRmS,"['reality', 'covid', 'dropped', 'omicron', 'spread', 'rules', 'despite']"
60,SK Innovation expects refining margin in 2022 to stay flat as COVID surge tapers off  https://t.co/IYmAN8U5yj  https://t.co/8nNkEmwyTf,"['innovation', 'expect', 'refine', 'stay', 'flat', 'covid', 'surge', 'taper']"
61,SK Innovation expects refining margin in 2022 to stay flat as COVID-19 surge tapers off  https://t.co/s5fOYyxPVf  https://t.co/7hhNXPFae6,"['innovation', 'expect', 'refine', 'stay', 'flat', 'covid', 'surge', 'taper']"
62,"GDP grew at a 6.9% pace to close out 2021, stronger than expected despite omicron spread @JeffCoxCNBCcom   https://t.co/IMA7XPXnIB","['close out', 'grew', 'pace', 'stronger', 'expected', 'omicron', 'spread', 'than', 'despite']"
63,LVMH blows past COVID-19 pandemic with record sales and profit  https://t.co/bCI6HUGLgn  https://t.co/KluVcmqoUE,"['blowsy', 'covid', 'pandemic', 'record', 'sales', 'profit', 'lvmh', 'past']"
64,The world's first medical trial authorised to deliberately expose participants to COVID.    https://t.co/RntcyUCVEg,"['medical', 'trial', 'deliberately', 'expose', 'participant', 'covid', 'first']"
65,US presses China to loosen COVID-19 rules for diplomats  https://t.co/9JIwDyO33h  https://t.co/0ShHD2k18B,"['presses', 'covid', 'loosen']"
66,Finland moves up planned easing of COVID-19 restrictions  https://t.co/p0aKwIuGoc  https://t.co/c23CrWv6mp,"['ease', 'covid', 'restrictions', 'planned']"
67,UAE convoy of one million COVID-19 vaccines reaches Gaza: State media  https://t.co/I3xvvQIozd  https://t.co/PHww8A5og4,"['convoy', 'covid', 'vaccine', 'reaches', 'million']"
68,Paris hospitals chief sparks debate on whether COVID-19 unvaccinated patients should pay for treatment  https://t.co/ZRB6jnDZmN  https://t.co/AthgRH26Ft,"['chief', 'sparky', 'bat', 'covid', 'vaccine', 'treatment', 'hospitals', 'whether']"
69,Israel sees Holocaust tropes in COVID-19 protests fuelling anti-Semitism  https://t.co/0j2cNMrhdf  https://t.co/6dufthKT0I,"['see', 'holocaust', 'covid', 'protests', 'fuelling', 'israel']"
