,date,user_id,username,tweet,concept,polarity,emotion
2467,2022-02-10 18:41:47,178552077,pussycxt,Thanks COVID for the advance bday present 💕😎,"['thanks', 'covid', 'advance', 'bday', 'present']",POSITIVE,"['#enthusiasm', '#delight']"
2466,2022-02-10 18:46:06,169815133,peterongsh,"Back in October 2021, as most IRL Gran Fondo events I was supposed to race were canceled because of COVID, I agreed with my coach to prepare for a new vEveresting attempt, this time consciously preparing it.   #ZwiftWheelset #ZwiftTricks #ZwiftEvents","['gran', 'canceled', 'covid', 'agreed', 'ache', 'prepare', 'new', 'attempt', 'time', 'conscious', 'preparing']",POSITIVE,"['#ecstasy', None]"
