1487013875568427009 2022-01-28 18:45:09 +0800 <MothershipSG> Denmark to lift all domestic Covid-19 restrictions on Feb. 1, including mandatory mask-wearing  https://t.co/kuRZHLOrOl  https://t.co/H6jbXCiAWe 
1487010555722297344 2022-01-28 18:31:58 +0800 <BusinessTimes> DBS to buy Citi's Taiwan consumer banking business with S$956m premium, high employment but lower salaries for degree holders in Covid-19 years: MOM  https://t.co/bIcHoxUSXq 
1487003050732515330 2022-01-28 18:02:09 +0800 <ChannelNewsAsia> VTL quota depends on COVID-19 situation in both countries, says Singapore High Commissioner to Malaysia  https://t.co/m8E907xDca  https://t.co/gx4U7KiSwZ 
1486998735246684160 2022-01-28 17:45:00 +0800 <TODAYonline> 'Whack-a-mole': Experts call Hong Kong's zero-Covid policy unsustainable  https://t.co/v4J7Y9m1v7  https://t.co/7my3RGX3pN 
1486986289169637380 2022-01-28 16:55:32 +0800 <straits_times> More than 175,000 children aged between five and 11 have got at least one Covid-19 vaccine dose  https://t.co/0FTFi2UDc0 
1486971822750924806 2022-01-28 15:58:03 +0800 <ChannelNewsAsia> South Korea plans to add small hospitals as COVID-19 cases surge  https://t.co/U9mLaLvnE7  https://t.co/cf5M0VbnKD 
1486966549965537281 2022-01-28 15:37:06 +0800 <ChannelNewsAsia> Delhi lifts weekend curfew, reopens restaurants as India COVID-19 cases drop  https://t.co/iveITEJu9T  https://t.co/7gy4ejIZ9Q 
1486957983590277120 2022-01-28 15:03:04 +0800 <TODAYonline> Covid-19 rules breach: 56 businesses, 360 people caught; authorities taking extra precautions at Chinatown  https://t.co/9i3FbgkpeF  https://t.co/30VChgryyz 
1486943387148120065 2022-01-28 14:05:04 +0800 <ChannelNewsAsia> Not easy being green: China's COVID-19 'health codes' define pandemic life  https://t.co/J7yvm4ff7P  https://t.co/9Ink5Xli66 
1486942708128178177 2022-01-28 14:02:22 +0800 <asiaonecom> Sweden decides against recommending Covid vaccines for kids aged 5-12  https://t.co/FFkG6Yrw4y  https://t.co/yJ6VLJ5dkg 
1486938601946423296 2022-01-28 13:46:03 +0800 <TODAYonline> Labour market continues recovery in Q4, as non-resident employment rises for first time since Covid-19 struck  https://t.co/VICA8u54hJ  https://t.co/TySYXsz4np 
1486934965207986177 2022-01-28 13:31:36 +0800 <ChannelNewsAsia> China quietly locks down area near Beijing after COVID-19 cases  https://t.co/qiFcsvDhnZ  https://t.co/irSIKokGNi 
1486931558866964480 2022-01-28 13:18:04 +0800 <TODAYonline> Labour market continues to recover in Q4 as non-resident employment rises for first time since Covid-19 struck  https://t.co/CJugWPQTJd  https://t.co/QKzLRtLUWi 
1486931263365681153 2022-01-28 13:16:53 +0800 <BusinessTimes> High employment but lower salaries for degree holders in Covid-19 years: MOM  https://t.co/7b7WnCgDOA  https://t.co/dEWgRSZ8zZ 
1486925779845869572 2022-01-28 12:55:06 +0800 <ChannelNewsAsia> 'Whack-a-mole': Experts call Hong Kong's zero-COVID policy unsustainable  https://t.co/A3noKPeZxS  https://t.co/t31a2soul8 
1486916848071360513 2022-01-28 12:19:36 +0800 <BusinessTimes> Thailand Q4 GDP to contract 0.8%, Covid-19 remains key threat: UOB  https://t.co/46X4tA9VYf 
1486912674663641093 2022-01-28 12:03:01 +0800 <kixes> @sharanvkaur A friend tried to report Covid misinformation to POFMA Office to see what would happen, they told him to write to MOH. But writing to MOH no sound for months, meanwhile the misinfo just flying all over Telegram 
1486908752515137536 2022-01-28 11:47:26 +0800 <kixes> @JoaChenRen The issue here for Substack is that they are providing space for harmful views — eg. lies about vaccines and Covid that can cause real harm — to spread, and also for peddlers of misinformation (and themselves) to make money doing it... 
1486899270112329729 2022-01-28 11:09:45 +0800 <APEC> [READ] Leading APEC in 2022 towards a Sustainable Post COVID-19 Recovery  https://t.co/aPyydojGY9 via @BangkokPostNews  #APEC2022 @APEC2022TH APEC2022
1486887414123708417 2022-01-28 10:22:39 +0800 <asiaonecom> 'Cure cannot be worse than disease': Why Singapore changed its Covid-recovery plan  https://t.co/9ENpcCGaQk  https://t.co/rH091AcqVZ 
1486887070232883202 2022-01-28 10:21:17 +0800 <kixes> Graham Linehan is actively and regularly attacking trans people and their existence, and others are making money off spreading Covid misinformation (see:  https://t.co/UoBNwcrPSG) 
1486885750540959744 2022-01-28 10:16:02 +0800 <TODAYonline> S’porean Woman &amp; Son Caught Covid-19 In Korea, Had To Stay On For 18 Extra Days — And It Cost Them An Extra $7,000 In Bills &amp; Expenses  https://t.co/pWMaZibGC4  https://t.co/HiPXOv7QMY 
1486877064351617027 2022-01-28 09:41:31 +0800 <TedKempCNBC> Back to reality at last? Covid rules are being dropped in Europe despite high omicron spread @HollyEllyatt   https://t.co/5qwiDgZRmS 
1486868894069321730 2022-01-28 09:09:03 +0800 <ChannelNewsAsia> SK Innovation expects refining margin in 2022 to stay flat as COVID surge tapers off  https://t.co/IYmAN8U5yj  https://t.co/8nNkEmwyTf 
1486865122941231105 2022-01-28 08:54:04 +0800 <ChannelNewsAsia> SK Innovation expects refining margin in 2022 to stay flat as COVID-19 surge tapers off  https://t.co/s5fOYyxPVf  https://t.co/7hhNXPFae6 
1486850294117912576 2022-01-28 07:55:09 +0800 <ChannelNewsAsia> LVMH blows past COVID-19 pandemic with record sales and profit  https://t.co/bCI6HUGLgn  https://t.co/KluVcmqoUE 
1486847599185330176 2022-01-28 07:44:26 +0800 <YahooSG> The world's first medical trial authorised to deliberately expose participants to COVID.    https://t.co/RntcyUCVEg 
1486843348652421120 2022-01-28 07:27:33 +0800 <ChannelNewsAsia> US presses China to loosen COVID-19 rules for diplomats  https://t.co/9JIwDyO33h  https://t.co/0ShHD2k18B 
1486802582483836933 2022-01-28 04:45:33 +0800 <ChannelNewsAsia> Finland moves up planned easing of COVID-19 restrictions  https://t.co/p0aKwIuGoc  https://t.co/c23CrWv6mp 
1486800821803106304 2022-01-28 04:38:33 +0800 <ChannelNewsAsia> UAE convoy of one million COVID-19 vaccines reaches Gaza: State media  https://t.co/I3xvvQIozd  https://t.co/PHww8A5og4 
1486793655859830785 2022-01-28 04:10:05 +0800 <ChannelNewsAsia> Paris hospitals chief sparks debate on whether COVID-19 unvaccinated patients should pay for treatment  https://t.co/ZRB6jnDZmN  https://t.co/AthgRH26Ft 
