1476556591918813186 2021-12-30 22:11:39 +0800 <temptempholder> Some companies boom during covid 
1476523550353723395 2021-12-30 20:00:21 +0800 <temptempholder> I think how covid saga is prequel to Hunger Games. 
1476516188381335552 2021-12-30 19:31:06 +0800 <temptempholder> Young people, young adults do go ICU , do die for covid and do suffer long covid terribly if unvaccinated. That is fact played out in every country. 
1476516186519072771 2021-12-30 19:31:05 +0800 <temptempholder> Teen died 75 days after vaccination is abit long long period right. So many factors could have transpired in 75 days.   Meanwhile official deaths of covid is  5420000 people.  I think we first should wait for autopsy result first.   Also policy wise there cannot be much change 
1476416979518967808 2021-12-30 12:56:53 +0800 <mrkwhite> @ScottMorrisonMP confirming in a press conference just now that, with regards to Covid, he won’t give a RAT(s) #auspol auspol
1476407826335428612 2021-12-30 12:20:30 +0800 <ZackAvaricious> T20 je yg mampu pergi umrah masa covid ni. Eloklah peram kat KLIA tu. 
1476399700282527745 2021-12-30 11:48:13 +0800 <RatedJOfficial> Nasa 889 ang mga bagong kaso ng COVID-19 infections sa Pilipinas kahapon.  #RatedJ  https://t.co/CxxX4oIB38 RatedJ
1476393915146063878 2021-12-30 11:25:14 +0800 <shuklap> #Delhi AAP government has adopted  Graded Response Action Plan (GRAP) That is automated response based on positive cases. Kejriwal uses science and politics to govern. Not politics in fighting Covid @AAPPunjab @AamAadmiParty #Punjab  #PunjabElection2022  #PunjabAssemblyElections Delhi,Punjab,PunjabElection2022,PunjabAssemblyElections
1476387995070517249 2021-12-30 11:01:42 +0800 <jellology> Learn and see how US, Germany, Singapore and Indonesia handle Covid. 
1476308822830436353 2021-12-30 05:47:06 +0800 <dwallbank> There are a lot of things people don't know or aren't good at dealing with re: Covid. But rapid testing is something a lot of Asia and Europe have solved for a while now. 
1476217847344873475 2021-12-29 23:45:36 +0800 <_rodahidup> 341 new COVID-19 cases reported in Singapore; 170 Omicron infections confirmed     https://t.co/q7jYVPkPvG 
1476183725704577025 2021-12-29 21:30:01 +0800 <ainunnajib> Cari minum dulu, ga boleh bawa makan/minum di dalam, karena protokol covid.  Kayaknya bakal telat nanti baliknya.  https://t.co/Dpw1SRdv9p 
1476173842305355777 2021-12-29 20:50:44 +0800 <_rodahidup> Travellers can each bring up to 20 COVID-19 self-test kits into Singapore: HSA     https://t.co/R0II3ip6iE 
1476147155324715014 2021-12-29 19:04:41 +0800 <aung_khaing_soe> Myanmar Records First Cases of Omicron COVID-19 Variant   #WhatsHappeningInMyanmar  #Dec29Coup    https://t.co/3fxMM5iip1 WhatsHappeningInMyanmar,Dec29Coup
1476128604287549440 2021-12-29 17:50:59 +0800 <Jasonngose> @PaulSma26802969 @chrisdocstrange @estherk_k The guy’s a covid denier, pal! Best not bother with this one! 
